hash,block_number,base_fee_wei,max_fee_wei,max_priority_fee_wei,gas_limit,gas_price_wei
d951c6576cf8fa4c82fbc8916488dfff558d2723b4f966f0225c8eb9c9bd1a9c,24816349,94524874,176295844.0,0.0,100000,94524874
4d3a9e33f3a3ce2a150188711d1ab6f95c6371bc517a0afc0dcb6728625436ac,24816348,88095422,13055875907.0,12943994722.0,500002,13032090144
da615de05993c3ffb5bc200dd14da07356d22cb37b126116db55bbfe25ed6197,24816347,80079773,,,23100,3000000000
c8f1c8a492c37a9a427d9c02324c04d069e2816b85aabc2103f827c7e15e7aa3,24816346,86208475,180756470.0,0.0,450907,86208475
d94b2e4133e12299db1704874efa8bc48d7bc3f7350053401a1b19983bb468bb,24816345,90328235,5000000000.0,1.0,1000000,90328236
7f38fff03dcade167716a9347001fd24e8f772ff7aaa3e235989fc10c7f7032f,24816344,93110894,6079325231.0,5986214337.0,231920,6079325231
c220fb45b0ad1f5dd38d6bddedaca53b0164734b4493af2bf6e15c406eaa5e22,24816343,101395525,198688844.0,0.0,351054,101395525
62962a6f7c526cc8574c2ce11ffec9f61ae7f892b9d259c9bdeef7458c13b0c0,24816342,99294422,21101767924.0,21002473502.0,240264,21101767924
af8f6741f586dbef20d1f02e187ae768b7800b901d3ec4a2233451907c14b8c2,24816341,88263670,2211763702.0,1000000000.0,25000,1088263670
452d39df9315f1d3a30d2f98aa21087937d9a20eae55d4a8d3271f88b9460e6b,24816340,91893912,198791024.0,0.0,445686,91893912
325fd8bb7e7b2d501eab743b3443348370b6af9fc1dfdc35a5e9f265556de3c4,24816339,99345512,203572024.0,0.0,351127,99345512
54d36420295af04c3a9deb9cf8c3dae32137a9435fbe5dafcab84083ff0447bf,24816338,101736012,209999218.0,0.0,442844,101736012
72ac11d9f19e3b84d43f9024d5e0f58ef621c589083ce50c63ff5b04eb8d0ef9,24816337,104949609,5151835126.0,5000000000.0,100000,5104949609
1ee9d7cea6ee29f8d4fa2249b8978f666ae85f96001ade70da530289c82568de,24816336,106638662,5153725683.0,5000000000.0,21000,5106638662
c43eb20222b9014dd74c6aaa93b03adddbf56700e3aa410f7dd9f4a31d2f576f,24816335,107966461,228812208.0,0.0,443899,107966461
1f8ce46cf79f02727c3dae7270d47431ff7ce7b348767648421d6088af2a828e,24816334,114356104,765910428.0,536038256.0,35000,650394360
443f552acf15f3ec055d4cce8dd917f37ea3b5d146c60ed30b70dd67ac300508,24816333,117915871,5000000000.0,5000000000.0,21000,5000000000
6c68d83f73917af3c8522c58164e7d63110749f3985833408df3e1a723dd5643,24816332,113661375,2234283794.0,1000000000.0,25000,1113661375
7ba7aee1c2b47405ae595d193a6a27655328b61961222a805b1aad6c00a8324f,24816331,119363372,3000000000.0,1000000000.0,21000,1119363372
